dataset,proc_id_1,node_id_1,proc_id_2,node_id_2,node_label_1,node_label_2,paired,gold_paired
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2667,83,2691,"apply online send papers provide use utilize employ","apply online confirm establish country process results evaluation",false,true
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2668,83,2690,"send online protocol apply online send protocol forward papers via internet","send documents by post email document letter forward credentials mail",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2668,83,2691,"send online protocol apply online send protocol forward papers via internet","apply online confirm establish country process results evaluation",false,true
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2669,83,2690,"send documents by post mail papers office send accept reward","send documents by post email document letter forward credentials mail",true,true
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2669,83,2694,"send documents by post mail papers office send accept reward","send letter of acceptance send letter rejection acceptance sdfsdf sdfsdfsd sdfsdfsdf",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2669,83,2702,"send documents by post mail papers office send accept reward","certificate received email send certificate documents acquired confirmed",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2669,83,2706,"send documents by post mail papers office send accept reward","documents received mail papers destination received receive accept",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2669,83,2709,"send documents by post mail papers office send accept reward","send letter of rejection letter rejected accepted rejection reject refusal",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2670,83,2690,"documents received send online protocol documents papers come get","send documents by post email document letter forward credentials mail",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2670,83,2702,"documents received send online protocol documents papers come get","certificate received email send certificate documents acquired confirmed",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2670,83,2706,"documents received send online protocol documents papers come get","documents received mail papers destination received receive accept",true,true
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2670,83,2707,"documents received send online protocol documents papers come get","check documents documents information application examine papers data",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2671,83,2690,"check documents send documents post check evaluate check verify control","send documents by post email document letter forward credentials mail",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2671,83,2702,"check documents send documents post check evaluate check verify control","certificate received email send certificate documents acquired confirmed",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2671,83,2703,"check documents send documents post check evaluate check verify control","check certificate certification recommendation validation checking documents licence",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2671,83,2706,"check documents send documents post check evaluate check verify control","documents received mail papers destination received receive accept",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2671,83,2707,"check documents send documents post check evaluate check verify control","check documents documents information application examine papers data",true,true
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2672,83,2688,"evaluate validate confirm address examine papers count","sufficient cp in mathematics sufficient take oral exam evaluate sdfsdfsd sdfsdfsd sdfsdfsd",false,true
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2672,83,2704,"evaluate validate confirm address examine papers count","less than cp in mathematics math exam school rating points subject",false,true
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2672,83,2708,"evaluate validate confirm address examine papers count","evaluate result marks validate examine check estimate",true,true
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2673,83,2705,"invite to an aptitude test invitation test failure testing class teacher","take oral exam revoke rejection bad reexamination passing cp result",false,true
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2674,83,2708,"keep in the applicant pool confirm establish country process examinations payments","evaluate result marks validate examine check estimate",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2675,83,2705,"take aptitude test confirm establish country process examinations payments","take oral exam revoke rejection bad reexamination passing cp result",false,true
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2676,83,2708,"rank students according to gpa and the test results confirm establish country process rankings results","evaluate result marks validate examine check estimate",false,true
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2679,83,2705,"pay for aptitude test test invitation application price money procedure","take oral exam revoke rejection bad reexamination passing cp result",false,true
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2683,83,2692,"acceptance revoke rejection bad result acceptance procedure","provisional acceptance confirmed applicant accepted evaluation sdsdgs sdsdg gsdsdgsd",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2683,83,2694,"acceptance revoke rejection bad result acceptance procedure","send letter of acceptance send letter rejection acceptance sdfsdf sdfsdfsd sdfsdfsdf",true,true
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2683,83,2696,"acceptance revoke rejection bad result acceptance procedure","accepted letter applicant invite ffdfh yrryry yyryryr",false,true
UA_Union_GoldAll_Clean_2_Keywords_Default_NoStem,82,2683,83,2697,"acceptance revoke rejection bad result acceptance procedure","rejected unacceptable reject deny rejected reject discard",true,false
