dataset,proc_id_1,node_id_1,proc_id_2,node_id_2,node_label_1,node_label_2,paired,gold_paired
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2667,83,2691,"apply online","apply online",true,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2668,83,2691,"send online protocol","apply online",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2669,83,2690,"send documents by post mail papers","send documents by post",true,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2670,83,2706,"documents received","documents received papers",true,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2671,83,2707,"check documents send check","check documents",true,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2672,83,2688,"evaluate","sufficient cp in mathematics exam",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2672,83,2704,"evaluate","less than cp in mathematics",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2672,83,2708,"evaluate","evaluate",true,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2673,83,2705,"invite to an aptitude test testing","take oral exam",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2675,83,2705,"take aptitude test confirm establish","take oral exam",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2676,83,2708,"rank students according to gpa and the test results","evaluate",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2679,83,2705,"pay for aptitude test test","take oral exam",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2683,83,2694,"acceptance","send letter of acceptance send letter",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2683,83,2696,"acceptance","accepted letter",true,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2684,83,2694,"send letter of rejection","send letter of acceptance send letter",true,false
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2684,83,2697,"send letter of rejection","rejected reject rejected",true,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2684,83,2709,"send letter of rejection","send letter of rejection letter rejection",true,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2667,84,2716,"apply online","add certificate of bachelor degree",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2667,84,2718,"apply online","german german",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2667,84,2722,"apply online","add certificate of german language",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2667,84,2730,"apply online","complete application finish",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2667,84,2732,"apply online","fill out application form data",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2668,84,2720,"send online protocol","send application",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2669,84,2720,"send documents by post mail papers","send application",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2670,84,2719,"documents received","receive application",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2671,84,2710,"check documents send check","complete and in time complete",false,true
UA_Intersection_GoldAll_Clean_2_Keywords_Default_NoStem,82,2671,84,2715,"check documents send check","check application complete send check",true,true
