dataset,proc_id_1,node_id_1,proc_id_2,node_id_2,node_label_1,node_label_2,paired,gold_paired
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2667,83,2691,"apply online send paper provid","apply online confirm establish countri",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2668,83,2691,"send online protocol appli onlin send protocol","apply online confirm establish countri",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2669,83,2690,"send documents by post mail paper offic","send documents by post email document letter",true,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2669,83,2706,"send documents by post mail paper offic","documents received mail paper destin",true,false
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2669,83,2707,"send documents by post mail paper offic","check documents document inform applic",true,false
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2670,83,2706,"documents received send onlin protocol document","documents received mail paper destin",true,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2671,83,2690,"check documents send document post check evalu","send documents by post email document letter",true,false
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2671,83,2706,"check documents send document post check evalu","documents received mail paper destin",true,false
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2671,83,2707,"check documents send document post check evalu","check documents document inform applic",true,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2672,83,2688,"evaluate valid confirm address","sufficient cp in mathematics suffici take oral exam evalu",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2672,83,2704,"evaluate valid confirm address","less than cp in mathematics math exam school",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2672,83,2708,"evaluate valid confirm address","evaluate result mark valid",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2673,83,2705,"invite to an aptitude test invit test failur","take oral exam revoqu reject bad",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2675,83,2705,"take aptitude test confirm establish countri","take oral exam revoqu reject bad",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2676,83,2708,"rank students according to gpa and the test results confirm establish countri","evaluate result mark valid",true,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2679,83,2705,"pay for aptitude test test invit applic","take oral exam revoqu reject bad",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2683,83,2693,"acceptance revoqu reject bad","provisional acceptance cancelled averag grade good better accept confirm",true,false
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2683,83,2694,"acceptance revoqu reject bad","send letter of acceptance send letter reject accept",true,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2683,83,2696,"acceptance revoqu reject bad","accepted letter applic invit",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2683,83,2697,"acceptance revoqu reject bad","rejected unaccept reject deni",true,false
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2683,83,2709,"acceptance revoqu reject bad","send letter of rejection letter reject accept",true,false
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2684,83,2690,"send letter of rejection repuls paper document","send documents by post email document letter",true,false
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2684,83,2694,"send letter of rejection repuls paper document","send letter of acceptance send letter reject accept",true,false
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2684,83,2697,"send letter of rejection repuls paper document","rejected unaccept reject deni",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2684,83,2706,"send letter of rejection repuls paper document","documents received mail paper destin",true,false
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2684,83,2709,"send letter of rejection repuls paper document","send letter of rejection letter reject accept",true,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2667,84,2716,"apply online send paper provid","add certificate of bachelor degree revoqu reject bad",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2667,84,2718,"apply online send paper provid","german languag translat german",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2667,84,2722,"apply online send paper provid","add certificate of german language applic certif form",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2667,84,2730,"apply online send paper provid","complete application finish success fulfil",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2667,84,2732,"apply online send paper provid","fill out application form mother tongu nation process",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2668,84,2720,"send online protocol appli onlin send protocol","send application request petit requisit",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2669,84,2720,"send documents by post mail paper offic","send application request petit requisit",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2670,84,2719,"documents received send onlin protocol document","receive application job interview appli",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2671,84,2710,"check documents send document post check evalu","complete and in time time complet deadlin",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2671,84,2715,"check documents send document post check evalu","check application complete send receiv check applic complet valid confirm",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2671,84,2717,"check documents send document post check evalu","check application in time hour minut second",false,true
UA_Union_GoldAll_Raw_1_Keywords_Default_Stemmed,82,2672,84,2711,"evaluate valid confirm address","hand application over to examining board execut board verif",false,true
