dataset,proc_id_1,node_id_1,proc_id_2,node_id_2,node_label_1,node_label_2,paired,gold_paired
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2667,83,2691,"apply online send paper provid us util emploi","apply online confirm establish countri process result evalu",false,true
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2668,83,2691,"send online protocol appli onlin send protocol forward paper via internet","apply online confirm establish countri process result evalu",false,true
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2669,83,2690,"send documents by post mail paper offic send accept reward","send documents by post email document letter forward credenti mail",true,true
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2669,83,2694,"send documents by post mail paper offic send accept reward","send letter of acceptance send letter reject accept sdfsdf sdfsdfsd sdfsdfsdf",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2669,83,2702,"send documents by post mail paper offic send accept reward","certificate received email send certif document acquir confirm",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2669,83,2706,"send documents by post mail paper offic send accept reward","documents received mail paper destin receiv receiv accept",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2669,83,2707,"send documents by post mail paper offic send accept reward","check documents document inform applic examin paper data",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2669,83,2709,"send documents by post mail paper offic send accept reward","send letter of rejection letter reject accept reject reject refus",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2670,83,2690,"documents received send onlin protocol document paper come get","send documents by post email document letter forward credenti mail",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2670,83,2706,"documents received send onlin protocol document paper come get","documents received mail paper destin receiv receiv accept",true,true
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2670,83,2707,"documents received send onlin protocol document paper come get","check documents document inform applic examin paper data",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2671,83,2690,"check documents send document post check evalu check verifi control","send documents by post email document letter forward credenti mail",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2671,83,2702,"check documents send document post check evalu check verifi control","certificate received email send certif document acquir confirm",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2671,83,2703,"check documents send document post check evalu check verifi control","check certificate certif recommend valid check document licenc",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2671,83,2706,"check documents send document post check evalu check verifi control","documents received mail paper destin receiv receiv accept",true,false
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2671,83,2707,"check documents send document post check evalu check verifi control","check documents document inform applic examin paper data",true,true
UA_Union_GoldAll_Clean_2_Keywords_Default_Stemmed,82,2671,83,2708,"check documents send document post check evalu check verifi control","evaluate result mark valid examin check estim",true,false
