process_id_1;node_id_1;node_label_1;process_id_2;node_id_2;node_label_2;gold_relationship
82;2667;Apply Online;84;2730;complete application;<--part_of
82;2667;Apply Online;84;2732;fill out application form;<--part_of
82;2667;Apply Online;84;2716;add certificate of bachelor degree;<--part_of
82;2667;Apply Online;84;2718;german?;<--part_of
82;2667;Apply Online;84;2722;add certificate of german language;<--part_of
82;2668;Send Online Protocol;84;2720;send application;part_of-->
82;2669;Send Documents by Post;84;2720;send application;part_of-->
82;2670;Documents received;84;2719;receive application;match
82;2671;Check Documents;84;2715;check application complete;<--part_of
82;2671;Check Documents;84;2717;check application in time;<--part_of
82;2671;Check Documents;84;2710;complete and in time?;<--part_of
82;2672;Evaluate;84;2711;hand application over to examining board;<--part_of
82;2672;Evaluate;84;2712;check if bachelor is sufficient;<--part_of
82;2672;Evaluate;84;2713;set additional requirements;<--part_of
82;2672;Evaluate;84;2714;check if bachelors-grade within top 85%;<--part_of
82;2673;Invite to an aptitude test;84;2725;invite for talk;match
82;2675;Take Aptitude test;84;2726;talk to applicant;<--part_of
82;2675;Take Aptitude test;84;2727;document;<--part_of
82;2676;Rank Students according to GPA and the test results;84;2728;rank with other applicants;match
82;2683;Acceptance;84;2729;send acceptance;<--part_of
82;2683;Acceptance;84;2723;receive acceptance;<--part_of
82;2683;Acceptance;84;2724;immatriculate;<--part_of
82;2684;Send letter of rejection;84;2731;send rejection;<--part_of
82;2684;Send letter of rejection;84;2721;receive rejection;<--part_of
